condition,k,recall,ci_lo,ci_hi
C0,1,0.5966,0.5227,0.6705
C0,3,0.7386,0.6761,0.8011
C0,5,0.7841,0.7216,0.8409
C0,10,0.8352,0.7784,0.8864
C1,1,0.2443,0.1818,0.307
C1,3,0.4545,0.3807,0.5284
C1,5,0.5398,0.4659,0.6136
C1,10,0.6023,0.5284,0.6761
C2,1,0.5227,0.4489,0.5966
C2,3,0.8011,0.7386,0.858
C2,5,0.8523,0.8011,0.9034
C2,10,0.875,0.8239,0.9205
C3,1,0.5852,0.5114,0.6534
C3,3,0.7557,0.6932,0.8182
C3,5,0.8182,0.7614,0.875
C3,10,0.875,0.8239,0.9205
C4,1,0.75,0.6875,0.8125
C4,3,0.8125,0.7557,0.8693
C4,5,0.8409,0.7841,0.892
C4,10,0.9091,0.8636,0.9489
C5,1,0.5795,0.5057,0.6534
C5,3,0.8182,0.7614,0.875
C5,5,0.8523,0.7955,0.9034
C5,10,0.8693,0.8182,0.9148
C3-noref,1,0.6023,0.5284,0.6705
C3-noref,3,0.7216,0.6534,0.7841
C3-noref,5,0.7784,0.7159,0.8409
C3-noref,10,0.8352,0.7784,0.8864
C3-nosize,1,0.358,0.2898,0.4318
C3-nosize,3,0.6136,0.5398,0.6875
C3-nosize,5,0.6989,0.6307,0.767
C3-nosize,10,0.7614,0.6989,0.8182
C3-nodedup,1,0.5739,0.5,0.6477
C3-nodedup,3,0.7898,0.7273,0.8466
C3-nodedup,5,0.8295,0.7727,0.8807
C3-nodedup,10,0.8807,0.8295,0.9261
C3-markeronly,1,0.5852,0.517,0.6591
C3-markeronly,3,0.7443,0.6818,0.8068
C3-markeronly,5,0.7955,0.733,0.8523
C3-markeronly,10,0.8523,0.8011,0.9034
