condition,k,recall,ci_lo,ci_hi
C0,1,0.1467,0.0933,0.2067
C0,3,0.3333,0.26,0.4133
C0,5,0.3867,0.3067,0.4667
C0,10,0.4067,0.3267,0.4867
C1,1,0.1467,0.0933,0.2067
C1,3,0.2933,0.22,0.3667
C1,5,0.3667,0.2867,0.4467
C1,10,0.4667,0.3867,0.5467
C2,1,0.1467,0.0933,0.2067
C2,3,0.3067,0.2333,0.38
C2,5,0.3867,0.3133,0.4667
C2,10,0.4867,0.4067,0.5667
C3,1,0.1467,0.0933,0.2067
C3,3,0.32,0.2467,0.3933
C3,5,0.3867,0.3067,0.4667
C3,10,0.4533,0.3733,0.5333
C4,1,0.16,0.1067,0.22
C4,3,0.3267,0.2533,0.4
C4,5,0.42,0.34,0.5
C4,10,0.4667,0.3867,0.5467
C5,1,0.12,0.0733,0.1733
C5,3,0.3067,0.2333,0.38
C5,5,0.4133,0.3333,0.4933
C5,10,0.5133,0.4333,0.5933
C3-noref,1,0.1733,0.1133,0.2333
C3-noref,3,0.3333,0.26,0.4133
C3-noref,5,0.38,0.3,0.46
C3-noref,10,0.44,0.36,0.52
C3-nosize,1,0.1467,0.0933,0.2067
C3-nosize,3,0.22,0.1533,0.2867
C3-nosize,5,0.2533,0.1867,0.3267
C3-nosize,10,0.38,0.3,0.46
C3-nodedup,1,0.1533,0.1,0.2133
C3-nodedup,3,0.3333,0.26,0.4133
C3-nodedup,5,0.38,0.3,0.46
C3-nodedup,10,0.4467,0.3667,0.5267
C3-markeronly,1,0.1733,0.1133,0.2333
C3-markeronly,3,0.34,0.2667,0.42
C3-markeronly,5,0.3733,0.2933,0.4533
C3-markeronly,10,0.44,0.36,0.52
